Word,REMARK,Definition_Source_1,Definition_Source_2,Definition_Source_3,Food_Example,Unnamed: 6,merged_text,sbert_cluster
roux,mixture of flour,fat and flour mixture,base for thickening sauces,cooked flour paste,make roux for gravy,,mixture of flour fat and flour mixture base for thickening sauces cooked flour paste,18
store,place,keep for later use,place in storage,preserve food properly,store leftovers,,place keep for later use place in storage preserve food properly,26
tie,bind,bind with string,secure ingredients,hold shape while cooking,tie roast with twine,,bind bind with string secure ingredients hold shape while cooking,17
slit,cut open,make narrow cut,cut slightly open,create opening,slit chili peppers,,cut open make narrow cut cut slightly open create opening,7
distribute,spread parts,spread evenly,divide among parts,arrange throughout dish,distribute toppings evenly,,spread parts spread evenly divide among parts arrange throughout dish,11
bubbling,bubble formation,form bubbles,boiling action,release gas while cooking,sauce bubbling gently,,bubble formation form bubbles boiling action release gas while cooking,24
blanch,heat plus cool item,boil briefly then cool,scald vegetables quickly,prepare for freezing,blanch spinach,,heat plus cool item boil briefly then cool scald vegetables quickly prepare for freezing,22
flavoring,flavour,ingredient adding taste,seasoning component,enhance flavor,add flavoring to soup,,flavour ingredient adding taste seasoning component enhance flavor,14
pierce,small cut,make small hole,puncture surface,allow heat or flavor in,pierce potatoes before baking,,small cut make small hole puncture surface allow heat or flavor in,7
decorate,presentation,add visual detail,garnish food,improve appearance,decorate cake,,presentation add visual detail garnish food improve appearance,11
insert,small action,put inside,place within food,add ingredient internally,insert garlic into roast,,small action put inside place within food add ingredient internally,18
broil,high heat cooking,cook with intense top heat,use overhead heat,brown food quickly,broil fish fillets,,high heat cooking cook with intense top heat use overhead heat brown food quickly,22
unmold,take out of mold,remove from mold,release shaped food,turn out of container,unmold pudding,,take out of mold remove from mold release shaped food turn out of container,5
grate,shape change cheese,shred into fine pieces,rub against grater,reduce to small bits,grate cheese,,shape change cheese shred into fine pieces rub against grater reduce to small bits,6
prick,small cut,make small holes,puncture lightly,release steam or air,prick pastry dough,,small cut make small holes puncture lightly release steam or air,7
dressing,add flavor,seasoned sauce for food,mixture for salads,flavoring liquid,add dressing to salad,,add flavor seasoned sauce for food mixture for salads flavoring liquid,14
shred,shape change item,cut into thin strips,tear finely,reduce to strands,shred chicken,,shape change item cut into thin strips tear finely reduce to strands,7
ice,add ice cool,cool rapidly with ice,add ice to chill,lower temperature quickly,ice vegetables after blanching,,add ice cool cool rapidly with ice add ice to chill lower temperature quickly,26
flatten,shape change,make level or thin,press down evenly,reduce thickness,flatten dough,,shape change make level or thin press down evenly reduce thickness,6
sizzle,sound,make hissing sound,cook with hot fat,quick high-heat sound,steak sizzles in pan,,sound make hissing sound cook with hot fat quick high-heat sound,24
sear,brown coating heat,brown surface quickly,seal exterior with heat,develop crust,sear meat before roasting,,brown coating heat brown surface quickly seal exterior with heat develop crust,15
caramelized,brown coating sweet,browned by sugar reaction,golden and sweetened,cooked until rich brown,caramelized onions,,brown coating sweet browned by sugar reaction golden and sweetened cooked until rich brown,15
unroll,shape change,open rolled food,flatten from roll,prepare sheet,unroll pastry,,shape change open rolled food flatten from roll prepare sheet,6
sweeten,add sugar,add sugar,increase sweetness,improve taste,sweeten sauce lightly,,add sugar add sugar increase sweetness improve taste,14
flake,cut item,break into layers,separate gently,form small pieces,flake cooked fish,,cut item break into layers separate gently form small pieces,7
tuck,small shape change,push neatly into place,secure edges,hide excess,tuck dough edges under,,small shape change push neatly into place secure edges hide excess,6
stop,action,end a process,prevent continuation,cease cooking action,stop cooking to avoid burning,,action end a process prevent continuation cease cooking action,21
settle,action,allow to rest,let ingredients stabilize,pause before next step,let batter settle,,action allow to rest let ingredients stabilize pause before next step,3
moisten,add water,add slight liquid,prevent dryness,lightly wet,moisten cake layers,,add water add slight liquid prevent dryness lightly wet,13
rotate,action,turn around,change position,ensure even cooking,rotate baking tray,,action turn around change position ensure even cooking,21
crumble,cut item,break into small pieces,reduce to crumbs,create rough texture,crumble cheese,,cut item break into small pieces reduce to crumbs create rough texture,7
snap,cut item,break cleanly,crack sharply,test crispness,beans snap when fresh,,cut item break cleanly crack sharply test crispness,7
skim,remove water,remove surface layer,take off foam or fat,clear liquid,skim soup,,remove water remove surface layer take off foam or fat clear liquid,13
soak,add water,submerge in liquid,allow absorption,hydrate ingredient,soak beans overnight,,add water submerge in liquid allow absorption hydrate ingredient,13
sieve,filtering particles,strain dry or wet ingredients,separate fine particles,refine texture,sieve flour,,filtering particles strain dry or wet ingredients separate fine particles refine texture,13
stretch,shape change,pull gently to enlarge,extend dough,increase surface area,stretch pizza dough,,shape change pull gently to enlarge extend dough increase surface area,6
drip,remove liquid,let liquid fall slowly,allow excess liquid to drop,drain lightly,let oil drip off food,,remove liquid let liquid fall slowly allow excess liquid to drop drain lightly,13
sweat,cook slowly,soften without browning,release moisture gently,cook slowly in fat,sweat onions,,cook slowly soften without browning release moisture gently cook slowly in fat,22
handle,action,touch and move food,manage ingredients carefully,work with gently,handle dough lightly,,action touch and move food manage ingredients carefully work with gently,18
submerge,add water,put completely under liquid,cover fully with liquid,immerse ingredient,submerge pasta in boiling water,,add water put completely under liquid cover fully with liquid immerse ingredient,13
spray,add liquid,apply as fine mist,distribute liquid lightly,coat evenly,spray oil on pan,,add liquid apply as fine mist distribute liquid lightly coat evenly,10
flip,action,turn over,reverse sides,change cooking surface,flip pancake,,action turn over reverse sides change cooking surface,21
immerse,add water,place fully in liquid,submerge completely,soak entirely,immerse vegetables in ice bath,,add water place fully in liquid submerge completely soak entirely,13
powdered,shape change,ground into fine dust,very fine texture,reduced to powder form,powdered sugar,,shape change ground into fine dust very fine texture reduced to powder form,6
sift,tool,pass through sieve,aerate dry ingredients,remove lumps,sift flour,,tool pass through sieve aerate dry ingredients remove lumps,13
shake,action,move back and forth,agitate ingredients,mix lightly,shake dressing,,action move back and forth agitate ingredients mix lightly,18
wilt,shape change,soften leaves,become limp from heat,reduce firmness,wilt spinach,,shape change soften leaves become limp from heat reduce firmness,6
scrape,clean,remove by dragging tool,collect residue,clean surface,scrape pan bottom,,clean remove by dragging tool collect residue clean surface,12
smoke,add flavor,cook using smoke,flavor with burning wood,preserve and flavor,smoke fish,,add flavor cook using smoke flavor with burning wood preserve and flavor,15
marinade,add flavor,seasoned soaking liquid,flavoring mixture,tenderizing liquid,prepare a marinade,,add flavor seasoned soaking liquid flavoring mixture tenderizing liquid,14
dissolve,mix in water,blend into liquid fully,disappear into liquid,combine completely,dissolve sugar in water,,mix in water blend into liquid fully disappear into liquid combine completely,18
toast,brown with heat,brown with dry heat,heat until crisp,enhance flavor,toast bread,,brown with heat brown with dry heat heat until crisp enhance flavor,15
squeeze,action,press to extract liquid,remove juice,apply pressure,squeeze lemon juice,,action press to extract liquid remove juice apply pressure,18
grind,cut item,crush into small particles,powder by crushing,reduce size,grind spices,,cut item crush into small particles powder by crushing reduce size,7
blitz,cut item heavily,process quickly in blender,puree rapidly,blend at high speed,blitz soup,,cut item heavily process quickly in blender puree rapidly blend at high speed,18
bubble,form bubble,form bubbles,boil gently,release gas,mixture bubbles while heating,,form bubble form bubbles boil gently release gas,24
slash,cut item,make long cut,score surface,allow expansion,slash bread dough,,cut item make long cut score surface allow expansion,7
blot,remove water,absorb excess liquid,remove moisture,dry surface,blot fried food,,remove water absorb excess liquid remove moisture dry surface,13
style,decorate,arrange attractively,shape presentation,decorate food,style plated dessert,,decorate arrange attractively shape presentation decorate food,11
trim,remove unwanted item,remove excess parts,cut unwanted edges,neaten ingredient,trim fat from meat,,remove unwanted item remove excess parts cut unwanted edges neaten ingredient,7
twist,action,turn or coil,rotate ends,shape ingredient,twist breadsticks,,action turn or coil rotate ends shape ingredient,2
whip,shape change,beat rapidly,add air to mixture,increase volume,whip cream,,shape change beat rapidly add air to mixture increase volume,6
carve,cut item,cut cooked meat,slice neatly,prepare servings,carve roast,,cut item cut cooked meat slice neatly prepare servings,7
divide,cut item,separate into portions,split evenly,create equal parts,divide dough,,cut item separate into portions split evenly create equal parts,7
meld,mix flavor,blend flavors together,combine smoothly,unite tastes,flavors meld in stew,,mix flavor blend flavors together combine smoothly unite tastes,18
swirl,action,move in circular motion,mix gently,create pattern,swirl sauce on plate,,action move in circular motion mix gently create pattern,2
thicken,reduce liquid,increase density,reduce liquid,add body to sauce,thicken gravy,,reduce liquid increase density reduce liquid add body to sauce,18
garnish,decorate,decorate dish,add finishing touch,improve appearance,garnish with herbs,,decorate decorate dish add finishing touch improve appearance,11
,,,,,,,nan nan nan nan,30
thaw,remove ice,defrost frozen food,return to room temperature,remove ice safely,thaw meat before cooking,,remove ice defrost frozen food return to room temperature remove ice safely,26
braise,slow heat,cook slowly with liquid,moist-heat cooking method,low and slow cooking,braise beef,,slow heat cook slowly with liquid moist-heat cooking method low and slow cooking,22
uncover,action,remove lid or cover,expose food during cooking,allow browning or evaporation,uncover pot to reduce sauce,,action remove lid or cover expose food during cooking allow browning or evaporation,21
process,shape change,prepare using machinery,blend or grind ingredients,transform using food processor,process nuts into paste,,shape change prepare using machinery blend or grind ingredients transform using food processor,6
bake,heating,cook with dry heat,use oven heat,even cooking method,bake bread,,heating cook with dry heat use oven heat even cooking method,22
rinse,clean,wash lightly with water,remove residue or starch,clean briefly,rinse rice,,clean wash lightly with water remove residue or starch clean briefly,12
repeat,action,do again,perform step once more,carry out same action,repeat stirring process,,action do again perform step once more carry out same action,3
scatter,decoration,spread loosely,distribute lightly over surface,arrange evenly,scatter herbs on dish,,decoration spread loosely distribute lightly over surface arrange evenly,11
square,shape change,shape into equal sides,form even edges,cut into squares,square brownies,,shape change shape into equal sides form even edges cut into squares,6
char,add flavor,burn surface intentionally,blacken with high heat,add smoky flavor,char vegetables,,add flavor burn surface intentionally blacken with high heat add smoky flavor,15
uncovered,action,not covered during cooking,exposed to air,allow evaporation,bake uncovered,,action not covered during cooking exposed to air allow evaporation,21
whirl,action,spin rapidly,mix in circular motion,blend by spinning,whirl sauce in blender,,action spin rapidly mix in circular motion blend by spinning,2
seal,action,close tightly,lock in moisture,prevent air entry,seal container,,action close tightly lock in moisture prevent air entry,28
wipe,clean,clean surface lightly,remove residue with cloth,dry or clean gently,wipe cutting board,,clean clean surface lightly remove residue with cloth dry or clean gently,12
assemble,action,put components together,combine prepared parts,build final dish,assemble sandwich,,action put components together combine prepared parts build final dish,18
wash,clean,clean with water,remove dirt or residue,prepare for use,wash vegetables,,clean clean with water remove dirt or residue prepare for use,12
strain,filter,separate liquid from solids,filter mixture,remove particles,strain broth,,filter separate liquid from solids filter mixture remove particles,13
pop,many meaning,burst open suddenly,expand and open with heat,release steam,pop popcorn,,many meaning burst open suddenly expand and open with heat release steam,19
strip,item separate,remove outer layer,pull off skin or leaves,take away covering,strip herbs from stems,,item separate remove outer layer pull off skin or leaves take away covering,5
brush,action,apply liquid lightly,spread using brush,coat surface,brush oil on bread,,action apply liquid lightly spread using brush coat surface,10
smear,action,spread thickly,coat unevenly,apply with hand or tool,smear butter on toast,,action spread thickly coat unevenly apply with hand or tool,10
poach,cook in water,cook gently in liquid,low-temperature simmering,moist cooking method,poach eggs,,cook in water cook gently in liquid low-temperature simmering moist cooking method,22
ladle,utensil,serve with deep spoon,pour using ladle,transfer liquid food,ladle soup into bowl,,utensil serve with deep spoon pour using ladle transfer liquid food,8
seasoning,add flavor,flavoring ingredients,salt and spices mix,enhance taste,add seasoning to soup,,add flavor flavoring ingredients salt and spices mix enhance taste,14
poke,cut item small,make small hole,prod lightly,puncture surface,poke holes in potatoes,,cut item small make small hole prod lightly puncture surface,7
dress,add flavor,add dressing or sauce,season and coat food,finish salad,dress the salad,,add flavor add dressing or sauce season and coat food finish salad,14
burn,high heat cooking,overheat food,blacken unintentionally,cause scorching,burn sugar quickly,,high heat cooking overheat food blacken unintentionally cause scorching,22
reduce,remove water,simmer to thicken,evaporate excess liquid,concentrate flavor,reduce sauce,,remove water simmer to thicken evaporate excess liquid concentrate flavor,14
dust,sprinkling item,lightly sprinkle powder,add fine coating,coat gently,dust cake with sugar,,sprinkling item lightly sprinkle powder add fine coating coat gently,10
stack,shape change,place items on top of each other,arrange in layers,pile neatly,stack pancakes,,shape change place items on top of each other arrange in layers pile neatly,6
reheat,low heating,heat again,warm cooked food,restore serving temperature,reheat leftovers,,low heating heat again warm cooked food restore serving temperature,22
dripping,liquid leftover,liquid falling from food,fat released during cooking,juices from meat,collect pan drippings,,liquid leftover liquid falling from food fat released during cooking juices from meat,23
transfer,action,move from one place to another,shift food to new container,relocate ingredients,transfer sauce to bowl,,action move from one place to another shift food to new container relocate ingredients,18
soften,shape change,make less firm,reduce hardness,loosen texture,soften butter,,shape change make less firm reduce hardness loosen texture,6
drizzle,?,pour lightly in thin stream,add small amount of liquid,decorate with sauce,drizzle olive oil,,? pour lightly in thin stream add small amount of liquid decorate with sauce,18
arrange,action,place neatly,organize food visually,prepare presentation,arrange vegetables on plate,,action place neatly organize food visually prepare presentation,11
measure,unit,determine exact amount,use measuring tools,portion ingredients accurately,measure flour,,unit determine exact amount use measuring tools portion ingredients accurately,8
fold,mixing,combine gently,turn mixture over softly,preserve air,fold egg whites into batter,,mixing combine gently turn mixture over softly preserve air,18
beat,shape change,mix vigorously,stir rapidly,incorporate air,beat eggs,,shape change mix vigorously stir rapidly incorporate air,6
simmer,low heating,cook just below boiling,heat gently,maintain slow bubbles,simmer soup,,low heating cook just below boiling heat gently maintain slow bubbles,22
saute,high heat cooking,cook quickly in small fat,high-heat frying,shallow pan cooking,saute onions,,high heat cooking cook quickly in small fat high-heat frying shallow pan cooking,22
mould,shape change,shape food,form using mold,create set shape,mould butter,,shape change shape food form using mold create set shape,6
shape,shape change,form into desired form,give structure,create outline,shape dough,,shape change form into desired form give structure create outline,6
stirring,mixing,moving ingredients around,mixing continuously,prevent sticking,stirring sauce,,mixing moving ingredients around mixing continuously prevent sticking,18
raise,action,increase height or level,cause dough to grow,elevate mixture,yeast raises dough,,action increase height or level cause dough to grow elevate mixture,6
tear,cut item,pull apart roughly,divide by hand,separate unevenly,tear lettuce,,cut item pull apart roughly divide by hand separate unevenly,7
pick,action,choose or remove carefully,select small items,pluck gently,pick herbs,,action choose or remove carefully select small items pluck gently,16
stand,action,allow to rest,let sit without movement,pause process,let dough stand,,action allow to rest let sit without movement pause process,3
scoop,unit,lift with spoon,remove portion,serve rounded amount,scoop ice cream,,unit lift with spoon remove portion serve rounded amount,8
stuff,add mixing,fill with mixture,pack ingredients inside,insert filling,stuff peppers,,add mixing fill with mixture pack ingredients inside insert filling,18
smash,shape change,crush forcefully,flatten completely,break into pieces,smash garlic,,shape change crush forcefully flatten completely break into pieces,6
sort,prepare,arrange by type,separate items,organize ingredients,sort beans,,prepare arrange by type separate items organize ingredients,18
clean,clean,remove dirt,wash thoroughly,prepare hygienically,clean vegetables,,clean remove dirt wash thoroughly prepare hygienically,12
prepare,prepare,make ready for cooking,complete initial steps,organize ingredients,prepare ingredients,,prepare make ready for cooking complete initial steps organize ingredients,18
squash,shape change,press flat,crush gently,reduce thickness,squash tomatoes,,shape change press flat crush gently reduce thickness,6
mash,high mixing,crush until smooth,press into paste,break down texture,mash potatoes,,high mixing crush until smooth press into paste break down texture,18
dash,unit,add small amount,quick light addition,minimal quantity,dash of salt,,unit add small amount quick light addition minimal quantity,9
crush,shape change,press or grind forcefully,break into smaller pieces,reduce texture,crush garlic,,shape change press or grind forcefully break into smaller pieces reduce texture,6
drain,remove liquid,remove liquid from solid,let liquid run off,separate food from water,drain pasta,,remove liquid remove liquid from solid let liquid run off separate food from water,13
splash,add liquid,spray liquid lightly,scatter small drops,add water or sauce quickly,splash water on vegetables,,add liquid spray liquid lightly scatter small drops add water or sauce quickly,18
glaze,coating,coat with glossy layer,apply sugar or sauce,add shiny finish,glaze donuts,,coating coat with glossy layer apply sugar or sauce add shiny finish,10
break,cut item small,separate into pieces,divide food forcefully,split ingredient,break chocolate into chunks,,cut item small separate into pieces divide food forcefully split ingredient,7
chill,cool item,cool in refrigerator,lower temperature,prepare for serving,chill dough before baking,,cool item cool in refrigerator lower temperature prepare for serving,26
drop,action,let fall in small portions,release ingredient gently,place in batter,drop cookie dough onto tray,,action let fall in small portions release ingredient gently place in batter,18
test,action,check doneness,examine readiness,verify cooking result,test cake with toothpick,,action check doneness examine readiness verify cooking result,21
dice,cut item high,cut into small cubes,chop evenly into pieces,uniform cutting,dice vegetables,,cut item high cut into small cubes chop evenly into pieces uniform cutting,7
lard,prepare,insert fat into meat,fill with fat,prepare pastry or meat,lard pork roast,,prepare insert fat into meat fill with fat prepare pastry or meat,23
unwrap,action,remove covering,take off packaging,expose food,unwrap chocolate,,action remove covering take off packaging expose food,5
slather,coating,spread thickly,coat generously,apply in large amount,slather butter on bread,,coating spread thickly coat generously apply in large amount,10
rub,action,rub spices or fat into food,massage seasoning in,apply friction,rub roast with herbs,,action rub spices or fat into food massage seasoning in apply friction,16
moist,add water,containing enough water,not dry,retain juiciness,moist cake,,add water containing enough water not dry retain juiciness,13
scald,low heating,heat liquid almost to boiling,hot but not boiling,prepare for pasteurization,scald milk,,low heating heat liquid almost to boiling hot but not boiling prepare for pasteurization,22
pat,action,press lightly,flatten with hand,shape gently,pat dough,,action press lightly flatten with hand shape gently,16
steam,water cooking,cook with steam,use vapor to cook,moist-heat method,steam vegetables,,water cooking cook with steam use vapor to cook moist-heat method,22
split,cut item,divide lengthwise,separate in half,cut into sections,split buns,,cut item divide lengthwise separate in half cut into sections,7
pack,prepare,place tightly into container,fill storage,organize food,packed lunch box,,prepare place tightly into container fill storage organize food,26
mound,shape change,shape into small heap,pile food loosely,form round pile,mound rice on plate,,shape change shape into small heap pile food loosely form round pile,6
replace,action,put back in place,swap items,substitute ingredient,replace lid on pot,,action put back in place swap items substitute ingredient,18
foil,prepare,wrap in metal sheet,cover with aluminum,protect food during cooking,foil fish before baking,,prepare wrap in metal sheet cover with aluminum protect food during cooking,27
roast,high heat cooking,cook with dry heat in oven,bake meat or vegetables,slow even cooking,roaѕt chicken,,high heat cooking cook with dry heat in oven bake meat or vegetables slow even cooking,22
unfold,shape change,open folded item,spread out flat,expose layers,unfold puff pastry,,shape change open folded item spread out flat expose layers,6
yield,output,produce amount,provide output,result in quantity,dough yields 12 rolls,,output produce amount provide output result in quantity,9
smooth,shape change,even surface,no lumps,polish texture,smooth frosting,,shape change even surface no lumps polish texture,6
press,action,apply firm force,flatten with hand or tool,compact ingredients,press dough into pan,,action apply firm force flatten with hand or tool compact ingredients,16
puree,mix high,blend into smooth paste,liquidize ingredients,mix thoroughly,puree carrots for soup,,mix high blend into smooth paste liquidize ingredients mix thoroughly,18
roll,shape change,flatten or shape by rolling,form cylinder,shape dough,roll out pastry,,shape change flatten or shape by rolling form cylinder shape dough,6
sprout,?,begin growth,produce shoots,vegetable germination,bean sprouts,,? begin growth produce shoots vegetable germination,20
serve,prepare,present food for eating,offer to diners,distribute dishes,serve salad,,prepare present food for eating offer to diners distribute dishes,11
skin,shape change,remove outer layer,peel off covering,prepare surface,skin tomatoes,,shape change remove outer layer peel off covering prepare surface,5
whisk,shape change,beat rapidly,incorporate air,mix quickly,whisk eggs,,shape change beat rapidly incorporate air mix quickly,6
melt,shape change,change solid to liquid,heat until liquid,softening with heat,melt butter,,shape change change solid to liquid heat until liquid softening with heat,6
hold,action,keep at certain temperature,maintain position or state,preserve food,hold soup warm,,action keep at certain temperature maintain position or state preserve food,26
check,prepare,inspect or test,verify cooking progress,ensure readiness,check cake for doneness,,prepare inspect or test verify cooking progress ensure readiness,21
wrap,action,cover with material,enclose food,seal ingredients,wrap sandwich in foil,,action cover with material enclose food seal ingredients,27
boil,water cooking,cook in rapidly bubbling liquid,heat water until rolling boil,high-temperature cooking,boil pasta,,water cooking cook in rapidly bubbling liquid heat water until rolling boil high-temperature cooking,22
reserve,action,set aside for later,keep portion,save ingredient,reserve some sauce,,action set aside for later keep portion save ingredient,18
pull,shape change,stretch or draw apart,remove with force,extract ingredient,pull dough for bread,,shape change stretch or draw apart remove with force extract ingredient,6
fill,action,add content to container,stuff ingredient,complete portion,fill pastry with cream,,action add content to container stuff ingredient complete portion,18
start,action,begin cooking,initiate process,turn on appliance,start oven preheating,,action begin cooking initiate process turn on appliance,21
sprinkle,sprinkle item,scatter small amounts,lightly add topping,distribute evenly,sprinkle sugar on cake,,sprinkle item scatter small amounts lightly add topping distribute evenly,11
spread,coating,apply evenly,distribute across surface,coat,spread butter on toast,,coating apply evenly distribute across surface coat,10
move,action,change position,shift ingredient,transfer to new location,move bowl aside,,action change position shift ingredient transfer to new location,18
minced,cut item,cut into very small pieces,finely chopped,reduce size of ingredient,minced garlic,,cut item cut into very small pieces finely chopped reduce size of ingredient,7
cream,mixing,beat until smooth,combine fat and sugar,make light mixture,cream butter and sugar,,mixing beat until smooth combine fat and sugar make light mixture,18
