Word,REMARK,Definition_Source_1,Definition_Source_2,Definition_Source_3,Food_Example,Unnamed: 6,merged_text,tfidf_cluster
grease,coat with fat,coat with fat,apply oil or butter,prevent sticking,grease baking pan,,coat with fat coat with fat apply oil or butter prevent sticking,5
evaporated,reduce water,reduced by heat,water removed,concentrated liquid,evaporated milk,,reduce water reduced by heat water removed concentrated liquid,5
overcook,cook extra,cook too long,exceed ideal doneness,ruin texture or flavor,overcooked pasta,,cook extra cook too long exceed ideal doneness ruin texture or flavor,5
massage,flavor change,rub gently by hand,work ingredients softly,change texture by rubbing,massage kale with oil,,flavor change rub gently by hand work ingredients softly change texture by rubbing,2
charred,burning surface heat,burned on surface,blackened by heat,smoky flavor result,charred peppers,,burning surface heat burned on surface blackened by heat smoky flavor result,5
evaporate,remove water,turn liquid to vapor,remove moisture by heating,reduce liquid content,water evaporates from sauce,,remove water turn liquid to vapor remove moisture by heating reduce liquid content,5
condensed,remove water more,thickened by reduction,water removed,concentrated form,condensed milk,,remove water more thickened by reduction water removed concentrated form,5
griddle,cooking item,flat cooking surface,metal plate for frying,used for pancakes,bake on a griddle,,cooking item flat cooking surface metal plate for frying used for pancakes,5
presentation,food decoration,visual arrangement of food,how food is served,plating style,good presentation improves appeal,,food decoration visual arrangement of food how food is served plating style,5
dredge,coating,coat lightly with flour,cover before cooking,prepare for frying,dredge fish in flour,,coating coat lightly with flour cover before cooking prepare for frying,4
barbecue,open heat cooking,cook over open flame,grill or smoke food,outdoor cooking method,barbecue ribs,,open heat cooking cook over open flame grill or smoke food outdoor cooking method,5
curdle,forming curd,separate into lumps,form curds due to heat or acid,milk proteins clump,milk curdles when boiled,,forming curd separate into lumps form curds due to heat or acid milk proteins clump,3
dollop,measuring unit,small rounded amount,spoonful portion,soft mound of food,dollop of cream,,measuring unit small rounded amount spoonful portion soft mound of food,1
scorching,high heat cooking,extremely hot,burning surface heat,risk of burning food,scorching pan heat,,high heat cooking extremely hot burning surface heat risk of burning food,5
tilt,pan movement,angle container,lean pan slightly,direct liquid flow,tilt pan to baste steak,,pan movement angle container lean pan slightly direct liquid flow,5
muddle,mixing items,crush gently,press to release flavors,lightly mash ingredients,muddle mint for drinks,,mixing items crush gently press to release flavors lightly mash ingredients,5
deglaze,light heat,loosen browned bits,dissolve pan residue with liquid,create sauce from drippings,deglaze pan with wine,,light heat loosen browned bits dissolve pan residue with liquid create sauce from drippings,5
freezing,cooling item,preserve by cold,turn liquid solid,store at very low temperature,freezing berries,,cooling item preserve by cold turn liquid solid store at very low temperature,5
parboil,cooking in water,boil briefly,partially cook in water,pre-cook ingredient,parboil potatoes,,cooking in water boil briefly partially cook in water pre-cook ingredient,5
baste,add water,moisten during cooking,spoon liquid over food,add flavor and moisture,baste roast chicken,,add water moisten during cooking spoon liquid over food add flavor and moisture,5
scrub,cleaning,clean by rubbing firmly,wash vegetables thoroughly,remove dirt,scrub potatoes,,cleaning clean by rubbing firmly wash vegetables thoroughly remove dirt,3
defrost,remove ice,remove ice,thaw frozen food,return to usable state,defrost meat safely,,remove ice remove ice thaw frozen food return to usable state,3
rising,shape change,dough expansion,increase in size,gas causes growth,dough rising before baking,,shape change dough expansion increase in size gas causes growth,2
preheat,preheat,heat beforehand,warm oven before cooking,prepare correct temperature,preheat oven to 180°c,,preheat heat beforehand warm oven before cooking prepare correct temperature,5
roux,mixture of flour,fat and flour mixture,base for thickening sauces,cooked flour paste,make roux for gravy,,mixture of flour fat and flour mixture base for thickening sauces cooked flour paste,4
store,place,keep for later use,place in storage,preserve food properly,store leftovers,,place keep for later use place in storage preserve food properly,5
tie,bind,bind with string,secure ingredients,hold shape while cooking,tie roast with twine,,bind bind with string secure ingredients hold shape while cooking,4
slit,cut open,make narrow cut,cut slightly open,create opening,slit chili peppers,,cut open make narrow cut cut slightly open create opening,2
distribute,spread parts,spread evenly,divide among parts,arrange throughout dish,distribute toppings evenly,,spread parts spread evenly divide among parts arrange throughout dish,5
bubbling,bubble formation,form bubbles,boiling action,release gas while cooking,sauce bubbling gently,,bubble formation form bubbles boiling action release gas while cooking,2
blanch,heat plus cool item,boil briefly then cool,scald vegetables quickly,prepare for freezing,blanch spinach,,heat plus cool item boil briefly then cool scald vegetables quickly prepare for freezing,3
flavoring,flavour,ingredient adding taste,seasoning component,enhance flavor,add flavoring to soup,,flavour ingredient adding taste seasoning component enhance flavor,5
pierce,small cut,make small hole,puncture surface,allow heat or flavor in,pierce potatoes before baking,,small cut make small hole puncture surface allow heat or flavor in,2
decorate,presentation,add visual detail,garnish food,improve appearance,decorate cake,,presentation add visual detail garnish food improve appearance,5
insert,small action,put inside,place within food,add ingredient internally,insert garlic into roast,,small action put inside place within food add ingredient internally,5
broil,high heat cooking,cook with intense top heat,use overhead heat,brown food quickly,broil fish fillets,,high heat cooking cook with intense top heat use overhead heat brown food quickly,5
unmold,take out of mold,remove from mold,release shaped food,turn out of container,unmold pudding,,take out of mold remove from mold release shaped food turn out of container,2
grate,shape change cheese,shred into fine pieces,rub against grater,reduce to small bits,grate cheese,,shape change cheese shred into fine pieces rub against grater reduce to small bits,2
prick,small cut,make small holes,puncture lightly,release steam or air,prick pastry dough,,small cut make small holes puncture lightly release steam or air,2
dressing,add flavor,seasoned sauce for food,mixture for salads,flavoring liquid,add dressing to salad,,add flavor seasoned sauce for food mixture for salads flavoring liquid,5
shred,shape change item,cut into thin strips,tear finely,reduce to strands,shred chicken,,shape change item cut into thin strips tear finely reduce to strands,2
ice,add ice cool,cool rapidly with ice,add ice to chill,lower temperature quickly,ice vegetables after blanching,,add ice cool cool rapidly with ice add ice to chill lower temperature quickly,3
flatten,shape change,make level or thin,press down evenly,reduce thickness,flatten dough,,shape change make level or thin press down evenly reduce thickness,2
sizzle,sound,make hissing sound,cook with hot fat,quick high-heat sound,steak sizzles in pan,,sound make hissing sound cook with hot fat quick high-heat sound,5
sear,brown coating heat,brown surface quickly,seal exterior with heat,develop crust,sear meat before roasting,,brown coating heat brown surface quickly seal exterior with heat develop crust,5
caramelized,brown coating sweet,browned by sugar reaction,golden and sweetened,cooked until rich brown,caramelized onions,,brown coating sweet browned by sugar reaction golden and sweetened cooked until rich brown,5
unroll,shape change,open rolled food,flatten from roll,prepare sheet,unroll pastry,,shape change open rolled food flatten from roll prepare sheet,5
sweeten,add sugar,add sugar,increase sweetness,improve taste,sweeten sauce lightly,,add sugar add sugar increase sweetness improve taste,5
flake,cut item,break into layers,separate gently,form small pieces,flake cooked fish,,cut item break into layers separate gently form small pieces,2
tuck,small shape change,push neatly into place,secure edges,hide excess,tuck dough edges under,,small shape change push neatly into place secure edges hide excess,2
stop,action,end a process,prevent continuation,cease cooking action,stop cooking to avoid burning,,action end a process prevent continuation cease cooking action,5
settle,action,allow to rest,let ingredients stabilize,pause before next step,let batter settle,,action allow to rest let ingredients stabilize pause before next step,5
moisten,add water,add slight liquid,prevent dryness,lightly wet,moisten cake layers,,add water add slight liquid prevent dryness lightly wet,5
rotate,action,turn around,change position,ensure even cooking,rotate baking tray,,action turn around change position ensure even cooking,5
crumble,cut item,break into small pieces,reduce to crumbs,create rough texture,crumble cheese,,cut item break into small pieces reduce to crumbs create rough texture,2
snap,cut item,break cleanly,crack sharply,test crispness,beans snap when fresh,,cut item break cleanly crack sharply test crispness,2
skim,remove water,remove surface layer,take off foam or fat,clear liquid,skim soup,,remove water remove surface layer take off foam or fat clear liquid,5
soak,add water,submerge in liquid,allow absorption,hydrate ingredient,soak beans overnight,,add water submerge in liquid allow absorption hydrate ingredient,5
sieve,filtering particles,strain dry or wet ingredients,separate fine particles,refine texture,sieve flour,,filtering particles strain dry or wet ingredients separate fine particles refine texture,3
stretch,shape change,pull gently to enlarge,extend dough,increase surface area,stretch pizza dough,,shape change pull gently to enlarge extend dough increase surface area,2
drip,remove liquid,let liquid fall slowly,allow excess liquid to drop,drain lightly,let oil drip off food,,remove liquid let liquid fall slowly allow excess liquid to drop drain lightly,5
sweat,cook slowly,soften without browning,release moisture gently,cook slowly in fat,sweat onions,,cook slowly soften without browning release moisture gently cook slowly in fat,5
handle,action,touch and move food,manage ingredients carefully,work with gently,handle dough lightly,,action touch and move food manage ingredients carefully work with gently,5
submerge,add water,put completely under liquid,cover fully with liquid,immerse ingredient,submerge pasta in boiling water,,add water put completely under liquid cover fully with liquid immerse ingredient,5
spray,add liquid,apply as fine mist,distribute liquid lightly,coat evenly,spray oil on pan,,add liquid apply as fine mist distribute liquid lightly coat evenly,5
flip,action,turn over,reverse sides,change cooking surface,flip pancake,,action turn over reverse sides change cooking surface,5
immerse,add water,place fully in liquid,submerge completely,soak entirely,immerse vegetables in ice bath,,add water place fully in liquid submerge completely soak entirely,5
powdered,shape change,ground into fine dust,very fine texture,reduced to powder form,powdered sugar,,shape change ground into fine dust very fine texture reduced to powder form,2
sift,tool,pass through sieve,aerate dry ingredients,remove lumps,sift flour,,tool pass through sieve aerate dry ingredients remove lumps,3
shake,action,move back and forth,agitate ingredients,mix lightly,shake dressing,,action move back and forth agitate ingredients mix lightly,4
wilt,shape change,soften leaves,become limp from heat,reduce firmness,wilt spinach,,shape change soften leaves become limp from heat reduce firmness,2
scrape,clean,remove by dragging tool,collect residue,clean surface,scrape pan bottom,,clean remove by dragging tool collect residue clean surface,3
smoke,add flavor,cook using smoke,flavor with burning wood,preserve and flavor,smoke fish,,add flavor cook using smoke flavor with burning wood preserve and flavor,5
marinade,add flavor,seasoned soaking liquid,flavoring mixture,tenderizing liquid,prepare a marinade,,add flavor seasoned soaking liquid flavoring mixture tenderizing liquid,5
dissolve,mix in water,blend into liquid fully,disappear into liquid,combine completely,dissolve sugar in water,,mix in water blend into liquid fully disappear into liquid combine completely,5
toast,brown with heat,brown with dry heat,heat until crisp,enhance flavor,toast bread,,brown with heat brown with dry heat heat until crisp enhance flavor,5
squeeze,action,press to extract liquid,remove juice,apply pressure,squeeze lemon juice,,action press to extract liquid remove juice apply pressure,5
grind,cut item,crush into small particles,powder by crushing,reduce size,grind spices,,cut item crush into small particles powder by crushing reduce size,2
blitz,cut item heavily,process quickly in blender,puree rapidly,blend at high speed,blitz soup,,cut item heavily process quickly in blender puree rapidly blend at high speed,2
bubble,form bubble,form bubbles,boil gently,release gas,mixture bubbles while heating,,form bubble form bubbles boil gently release gas,2
slash,cut item,make long cut,score surface,allow expansion,slash bread dough,,cut item make long cut score surface allow expansion,2
blot,remove water,absorb excess liquid,remove moisture,dry surface,blot fried food,,remove water absorb excess liquid remove moisture dry surface,5
style,decorate,arrange attractively,shape presentation,decorate food,style plated dessert,,decorate arrange attractively shape presentation decorate food,5
trim,remove unwanted item,remove excess parts,cut unwanted edges,neaten ingredient,trim fat from meat,,remove unwanted item remove excess parts cut unwanted edges neaten ingredient,2
twist,action,turn or coil,rotate ends,shape ingredient,twist breadsticks,,action turn or coil rotate ends shape ingredient,5
whip,shape change,beat rapidly,add air to mixture,increase volume,whip cream,,shape change beat rapidly add air to mixture increase volume,2
carve,cut item,cut cooked meat,slice neatly,prepare servings,carve roast,,cut item cut cooked meat slice neatly prepare servings,2
divide,cut item,separate into portions,split evenly,create equal parts,divide dough,,cut item separate into portions split evenly create equal parts,2
meld,mix flavor,blend flavors together,combine smoothly,unite tastes,flavors meld in stew,,mix flavor blend flavors together combine smoothly unite tastes,4
swirl,action,move in circular motion,mix gently,create pattern,swirl sauce on plate,,action move in circular motion mix gently create pattern,4
thicken,reduce liquid,increase density,reduce liquid,add body to sauce,thicken gravy,,reduce liquid increase density reduce liquid add body to sauce,5
garnish,decorate,decorate dish,add finishing touch,improve appearance,garnish with herbs,,decorate decorate dish add finishing touch improve appearance,5
,nan,nan,nan,nan,nan,,nan nan nan nan,6
thaw,remove ice,defrost frozen food,return to room temperature,remove ice safely,thaw meat before cooking,,remove ice defrost frozen food return to room temperature remove ice safely,3
braise,slow heat,cook slowly with liquid,moist-heat cooking method,low and slow cooking,braise beef,,slow heat cook slowly with liquid moist-heat cooking method low and slow cooking,5
uncover,action,remove lid or cover,expose food during cooking,allow browning or evaporation,uncover pot to reduce sauce,,action remove lid or cover expose food during cooking allow browning or evaporation,5
process,shape change,prepare using machinery,blend or grind ingredients,transform using food processor,process nuts into paste,,shape change prepare using machinery blend or grind ingredients transform using food processor,5
bake,heating,cook with dry heat,use oven heat,even cooking method,bake bread,,heating cook with dry heat use oven heat even cooking method,5
rinse,clean,wash lightly with water,remove residue or starch,clean briefly,rinse rice,,clean wash lightly with water remove residue or starch clean briefly,3
repeat,action,do again,perform step once more,carry out same action,repeat stirring process,,action do again perform step once more carry out same action,5
scatter,decoration,spread loosely,distribute lightly over surface,arrange evenly,scatter herbs on dish,,decoration spread loosely distribute lightly over surface arrange evenly,5
square,shape change,shape into equal sides,form even edges,cut into squares,square brownies,,shape change shape into equal sides form even edges cut into squares,2
char,add flavor,burn surface intentionally,blacken with high heat,add smoky flavor,char vegetables,,add flavor burn surface intentionally blacken with high heat add smoky flavor,5
uncovered,action,not covered during cooking,exposed to air,allow evaporation,bake uncovered,,action not covered during cooking exposed to air allow evaporation,5
whirl,action,spin rapidly,mix in circular motion,blend by spinning,whirl sauce in blender,,action spin rapidly mix in circular motion blend by spinning,4
seal,action,close tightly,lock in moisture,prevent air entry,seal container,,action close tightly lock in moisture prevent air entry,5
wipe,clean,clean surface lightly,remove residue with cloth,dry or clean gently,wipe cutting board,,clean clean surface lightly remove residue with cloth dry or clean gently,3
assemble,action,put components together,combine prepared parts,build final dish,assemble sandwich,,action put components together combine prepared parts build final dish,4
wash,clean,clean with water,remove dirt or residue,prepare for use,wash vegetables,,clean clean with water remove dirt or residue prepare for use,3
strain,filter,separate liquid from solids,filter mixture,remove particles,strain broth,,filter separate liquid from solids filter mixture remove particles,5
pop,many meaning,burst open suddenly,expand and open with heat,release steam,pop popcorn,,many meaning burst open suddenly expand and open with heat release steam,5
strip,item separate,remove outer layer,pull off skin or leaves,take away covering,strip herbs from stems,,item separate remove outer layer pull off skin or leaves take away covering,5
brush,action,apply liquid lightly,spread using brush,coat surface,brush oil on bread,,action apply liquid lightly spread using brush coat surface,5
smear,action,spread thickly,coat unevenly,apply with hand or tool,smear butter on toast,,action spread thickly coat unevenly apply with hand or tool,5
poach,cook in water,cook gently in liquid,low-temperature simmering,moist cooking method,poach eggs,,cook in water cook gently in liquid low-temperature simmering moist cooking method,5
ladle,utensil,serve with deep spoon,pour using ladle,transfer liquid food,ladle soup into bowl,,utensil serve with deep spoon pour using ladle transfer liquid food,5
seasoning,add flavor,flavoring ingredients,salt and spices mix,enhance taste,add seasoning to soup,,add flavor flavoring ingredients salt and spices mix enhance taste,5
poke,cut item small,make small hole,prod lightly,puncture surface,poke holes in potatoes,,cut item small make small hole prod lightly puncture surface,2
dress,add flavor,add dressing or sauce,season and coat food,finish salad,dress the salad,,add flavor add dressing or sauce season and coat food finish salad,5
burn,high heat cooking,overheat food,blacken unintentionally,cause scorching,burn sugar quickly,,high heat cooking overheat food blacken unintentionally cause scorching,5
reduce,remove water,simmer to thicken,evaporate excess liquid,concentrate flavor,reduce sauce,,remove water simmer to thicken evaporate excess liquid concentrate flavor,5
dust,sprinkling item,lightly sprinkle powder,add fine coating,coat gently,dust cake with sugar,,sprinkling item lightly sprinkle powder add fine coating coat gently,5
stack,shape change,place items on top of each other,arrange in layers,pile neatly,stack pancakes,,shape change place items on top of each other arrange in layers pile neatly,5
reheat,low heating,heat again,warm cooked food,restore serving temperature,reheat leftovers,,low heating heat again warm cooked food restore serving temperature,5
dripping,liquid leftover,liquid falling from food,fat released during cooking,juices from meat,collect pan drippings,,liquid leftover liquid falling from food fat released during cooking juices from meat,5
transfer,action,move from one place to another,shift food to new container,relocate ingredients,transfer sauce to bowl,,action move from one place to another shift food to new container relocate ingredients,5
soften,shape change,make less firm,reduce hardness,loosen texture,soften butter,,shape change make less firm reduce hardness loosen texture,2
drizzle,?,pour lightly in thin stream,add small amount of liquid,decorate with sauce,drizzle olive oil,,? pour lightly in thin stream add small amount of liquid decorate with sauce,1
arrange,action,place neatly,organize food visually,prepare presentation,arrange vegetables on plate,,action place neatly organize food visually prepare presentation,5
measure,unit,determine exact amount,use measuring tools,portion ingredients accurately,measure flour,,unit determine exact amount use measuring tools portion ingredients accurately,1
fold,mixing,combine gently,turn mixture over softly,preserve air,fold egg whites into batter,,mixing combine gently turn mixture over softly preserve air,4
beat,shape change,mix vigorously,stir rapidly,incorporate air,beat eggs,,shape change mix vigorously stir rapidly incorporate air,2
simmer,low heating,cook just below boiling,heat gently,maintain slow bubbles,simmer soup,,low heating cook just below boiling heat gently maintain slow bubbles,5
saute,high heat cooking,cook quickly in small fat,high-heat frying,shallow pan cooking,saute onions,,high heat cooking cook quickly in small fat high-heat frying shallow pan cooking,5
mould,shape change,shape food,form using mold,create set shape,mould butter,,shape change shape food form using mold create set shape,2
shape,shape change,form into desired form,give structure,create outline,shape dough,,shape change form into desired form give structure create outline,2
stirring,mixing,moving ingredients around,mixing continuously,prevent sticking,stirring sauce,,mixing moving ingredients around mixing continuously prevent sticking,4
raise,action,increase height or level,cause dough to grow,elevate mixture,yeast raises dough,,action increase height or level cause dough to grow elevate mixture,2
tear,cut item,pull apart roughly,divide by hand,separate unevenly,tear lettuce,,cut item pull apart roughly divide by hand separate unevenly,2
pick,action,choose or remove carefully,select small items,pluck gently,pick herbs,,action choose or remove carefully select small items pluck gently,5
stand,action,allow to rest,let sit without movement,pause process,let dough stand,,action allow to rest let sit without movement pause process,5
scoop,unit,lift with spoon,remove portion,serve rounded amount,scoop ice cream,,unit lift with spoon remove portion serve rounded amount,1
stuff,add mixing,fill with mixture,pack ingredients inside,insert filling,stuff peppers,,add mixing fill with mixture pack ingredients inside insert filling,4
smash,shape change,crush forcefully,flatten completely,break into pieces,smash garlic,,shape change crush forcefully flatten completely break into pieces,2
sort,prepare,arrange by type,separate items,organize ingredients,sort beans,,prepare arrange by type separate items organize ingredients,5
clean,clean,remove dirt,wash thoroughly,prepare hygienically,clean vegetables,,clean remove dirt wash thoroughly prepare hygienically,3
prepare,prepare,make ready for cooking,complete initial steps,organize ingredients,prepare ingredients,,prepare make ready for cooking complete initial steps organize ingredients,5
squash,shape change,press flat,crush gently,reduce thickness,squash tomatoes,,shape change press flat crush gently reduce thickness,2
mash,high mixing,crush until smooth,press into paste,break down texture,mash potatoes,,high mixing crush until smooth press into paste break down texture,4
dash,unit,add small amount,quick light addition,minimal quantity,dash of salt,,unit add small amount quick light addition minimal quantity,1
crush,shape change,press or grind forcefully,break into smaller pieces,reduce texture,crush garlic,,shape change press or grind forcefully break into smaller pieces reduce texture,2
drain,remove liquid,remove liquid from solid,let liquid run off,separate food from water,drain pasta,,remove liquid remove liquid from solid let liquid run off separate food from water,5
splash,add liquid,spray liquid lightly,scatter small drops,add water or sauce quickly,splash water on vegetables,,add liquid spray liquid lightly scatter small drops add water or sauce quickly,5
glaze,coating,coat with glossy layer,apply sugar or sauce,add shiny finish,glaze donuts,,coating coat with glossy layer apply sugar or sauce add shiny finish,5
break,cut item small,separate into pieces,divide food forcefully,split ingredient,break chocolate into chunks,,cut item small separate into pieces divide food forcefully split ingredient,2
chill,cool item,cool in refrigerator,lower temperature,prepare for serving,chill dough before baking,,cool item cool in refrigerator lower temperature prepare for serving,3
drop,action,let fall in small portions,release ingredient gently,place in batter,drop cookie dough onto tray,,action let fall in small portions release ingredient gently place in batter,5
test,action,check doneness,examine readiness,verify cooking result,test cake with toothpick,,action check doneness examine readiness verify cooking result,5
dice,cut item high,cut into small cubes,chop evenly into pieces,uniform cutting,dice vegetables,,cut item high cut into small cubes chop evenly into pieces uniform cutting,2
lard,prepare,insert fat into meat,fill with fat,prepare pastry or meat,lard pork roast,,prepare insert fat into meat fill with fat prepare pastry or meat,4
unwrap,action,remove covering,take off packaging,expose food,unwrap chocolate,,action remove covering take off packaging expose food,5
slather,coating,spread thickly,coat generously,apply in large amount,slather butter on bread,,coating spread thickly coat generously apply in large amount,5
rub,action,rub spices or fat into food,massage seasoning in,apply friction,rub roast with herbs,,action rub spices or fat into food massage seasoning in apply friction,5
moist,add water,containing enough water,not dry,retain juiciness,moist cake,,add water containing enough water not dry retain juiciness,5
scald,low heating,heat liquid almost to boiling,hot but not boiling,prepare for pasteurization,scald milk,,low heating heat liquid almost to boiling hot but not boiling prepare for pasteurization,5
pat,action,press lightly,flatten with hand,shape gently,pat dough,,action press lightly flatten with hand shape gently,5
steam,water cooking,cook with steam,use vapor to cook,moist-heat method,steam vegetables,,water cooking cook with steam use vapor to cook moist-heat method,5
split,cut item,divide lengthwise,separate in half,cut into sections,split buns,,cut item divide lengthwise separate in half cut into sections,2
pack,prepare,place tightly into container,fill storage,organize food,packed lunch box,,prepare place tightly into container fill storage organize food,5
mound,shape change,shape into small heap,pile food loosely,form round pile,mound rice on plate,,shape change shape into small heap pile food loosely form round pile,2
replace,action,put back in place,swap items,substitute ingredient,replace lid on pot,,action put back in place swap items substitute ingredient,5
foil,prepare,wrap in metal sheet,cover with aluminum,protect food during cooking,foil fish before baking,,prepare wrap in metal sheet cover with aluminum protect food during cooking,5
roast,high heat cooking,cook with dry heat in oven,bake meat or vegetables,slow even cooking,roaѕt chicken,,high heat cooking cook with dry heat in oven bake meat or vegetables slow even cooking,5
unfold,shape change,open folded item,spread out flat,expose layers,unfold puff pastry,,shape change open folded item spread out flat expose layers,5
yield,output,produce amount,provide output,result in quantity,dough yields 12 rolls,,output produce amount provide output result in quantity,1
smooth,shape change,even surface,no lumps,polish texture,smooth frosting,,shape change even surface no lumps polish texture,2
press,action,apply firm force,flatten with hand or tool,compact ingredients,press dough into pan,,action apply firm force flatten with hand or tool compact ingredients,5
puree,mix high,blend into smooth paste,liquidize ingredients,mix thoroughly,puree carrots for soup,,mix high blend into smooth paste liquidize ingredients mix thoroughly,4
roll,shape change,flatten or shape by rolling,form cylinder,shape dough,roll out pastry,,shape change flatten or shape by rolling form cylinder shape dough,2
sprout,?,begin growth,produce shoots,vegetable germination,bean sprouts,,? begin growth produce shoots vegetable germination,1
serve,prepare,present food for eating,offer to diners,distribute dishes,serve salad,,prepare present food for eating offer to diners distribute dishes,5
skin,shape change,remove outer layer,peel off covering,prepare surface,skin tomatoes,,shape change remove outer layer peel off covering prepare surface,5
whisk,shape change,beat rapidly,incorporate air,mix quickly,whisk eggs,,shape change beat rapidly incorporate air mix quickly,2
melt,shape change,change solid to liquid,heat until liquid,softening with heat,melt butter,,shape change change solid to liquid heat until liquid softening with heat,5
hold,action,keep at certain temperature,maintain position or state,preserve food,hold soup warm,,action keep at certain temperature maintain position or state preserve food,5
check,prepare,inspect or test,verify cooking progress,ensure readiness,check cake for doneness,,prepare inspect or test verify cooking progress ensure readiness,5
wrap,action,cover with material,enclose food,seal ingredients,wrap sandwich in foil,,action cover with material enclose food seal ingredients,5
boil,water cooking,cook in rapidly bubbling liquid,heat water until rolling boil,high-temperature cooking,boil pasta,,water cooking cook in rapidly bubbling liquid heat water until rolling boil high-temperature cooking,5
reserve,action,set aside for later,keep portion,save ingredient,reserve some sauce,,action set aside for later keep portion save ingredient,5
pull,shape change,stretch or draw apart,remove with force,extract ingredient,pull dough for bread,,shape change stretch or draw apart remove with force extract ingredient,5
fill,action,add content to container,stuff ingredient,complete portion,fill pastry with cream,,action add content to container stuff ingredient complete portion,5
start,action,begin cooking,initiate process,turn on appliance,start oven preheating,,action begin cooking initiate process turn on appliance,5
sprinkle,sprinkle item,scatter small amounts,lightly add topping,distribute evenly,sprinkle sugar on cake,,sprinkle item scatter small amounts lightly add topping distribute evenly,5
spread,coating,apply evenly,distribute across surface,coat,spread butter on toast,,coating apply evenly distribute across surface coat,5
move,action,change position,shift ingredient,transfer to new location,move bowl aside,,action change position shift ingredient transfer to new location,5
minced,cut item,cut into very small pieces,finely chopped,reduce size of ingredient,minced garlic,,cut item cut into very small pieces finely chopped reduce size of ingredient,2
cream,mixing,beat until smooth,combine fat and sugar,make light mixture,cream butter and sugar,,mixing beat until smooth combine fat and sugar make light mixture,4
