word,remark_manual,remark_auto,definition_source_1,definition_source_2,definition_source_3,food_example,unnamed: 6,merged_text,tfidf_cluster,remark_auto_aligned,alignment_score,Word,pubmedbert_cluster,umap_x,umap_y
parboil,water cooking,cooking in water,boil briefly,partially cook in water,pre-cook ingredient,parboil potatoes,,cooking in water boil briefly partially cook in water pre-cook ingredient,5,water cooking,0.7439597134122227,parboil,26,-3.5216603,2.5011973
baste,add water,add water,moisten during cooking,spoon liquid over food,add flavor and moisture,baste roast chicken,,add water moisten during cooking spoon liquid over food add flavor and moisture,5,add water,1.0,baste,26,-2.6300206,1.5183393
scrub,cleaning,cleaning,clean by rubbing firmly,wash vegetables thoroughly,remove dirt,scrub potatoes,,cleaning clean by rubbing firmly wash vegetables thoroughly remove dirt,3,cleaning,1.0,scrub,26,-0.74924,3.2780495
roux,mixture of flour,mixture of flour,fat and flour mixture,base for thickening sauces,cooked flour paste,make roux for gravy,,mixture of flour fat and flour mixture base for thickening sauces cooked flour paste,4,mixture of flour,1.0000000000000002,roux,26,-2.7977734,1.5892334
blanch,heat plus cool item,heat plus cool item,boil briefly then cool,scald vegetables quickly,prepare for freezing,blanch spinach,,heat plus cool item boil briefly then cool scald vegetables quickly prepare for freezing,3,heat plus cool item,1.0,blanch,26,-2.7337556,3.0078244
flavoring,flavoring,flavour,ingredient adding taste,seasoning component,enhance flavor,add flavoring to soup,,flavour ingredient adding taste seasoning component enhance flavor,5,sound,0.0,flavoring,26,-3.0647576,0.82829905
decorate,decoration,presentation,add visual detail,garnish food,improve appearance,decorate cake,,presentation add visual detail garnish food improve appearance,5,sound,0.0,decorate,26,-0.30492127,2.112668
broil,more cooking,high heat cooking,cook with intense top heat,use overhead heat,brown food quickly,broil fish fillets,,high heat cooking cook with intense top heat use overhead heat brown food quickly,5,heat plus cool item,0.3087890209920528,broil,26,-3.5800912,2.2747357
unmold,action,take out of mold,remove from mold,release shaped food,turn out of container,unmold pudding,,take out of mold remove from mold release shaped food turn out of container,2,mixture of flour,0.447213595499958,unmold,26,0.49386916,2.0635207
dressing,flavoring,add flavor,seasoned sauce for food,mixture for salads,flavoring liquid,add dressing to salad,,add flavor seasoned sauce for food mixture for salads flavoring liquid,5,add water,0.5687180842966731,dressing,26,-3.1449208,1.2106228
sizzle,sound,sound,make hissing sound,cook with hot fat,quick high-heat sound,steak sizzles in pan,,sound make hissing sound cook with hot fat quick high-heat sound,5,sound,1.0,sizzle,26,-2.2789643,0.6884985
caramelized,coating,brown coating sweet,browned by sugar reaction,golden and sweetened,cooked until rich brown,caramelized onions,,brown coating sweet browned by sugar reaction golden and sweetened cooked until rich brown,5,coating,1.0,caramelized,26,-2.3296707,1.2809801
sweeten,add sugar,add sugar,add sugar,increase sweetness,improve taste,sweeten sauce lightly,,add sugar add sugar increase sweetness improve taste,5,add sugar,1.0000000000000002,sweeten,26,-3.0532765,0.8637038
skim,reduce water,remove water,remove surface layer,take off foam or fat,clear liquid,skim soup,,remove water remove surface layer take off foam or fat clear liquid,5,remove unwanted item,0.3586231983895778,skim,26,-0.4337637,2.46416
soak,add water,add water,submerge in liquid,allow absorption,hydrate ingredient,soak beans overnight,,add water submerge in liquid allow absorption hydrate ingredient,5,add water,1.0,soak,26,-0.8560568,1.7770047
sweat,light cooking,cook slowly,soften without browning,release moisture gently,cook slowly in fat,sweat onions,,cook slowly soften without browning release moisture gently cook slowly in fat,5,sound,0.0,sweat,26,-3.1025486,1.8893138
submerge,add water,add water,put completely under liquid,cover fully with liquid,immerse ingredient,submerge pasta in boiling water,,add water put completely under liquid cover fully with liquid immerse ingredient,5,add water,1.0,submerge,26,-0.4748472,1.8341261
immerse,add water,add water,place fully in liquid,submerge completely,soak entirely,immerse vegetables in ice bath,,add water place fully in liquid submerge completely soak entirely,5,add water,1.0,immerse,26,-0.83461434,1.705438
sift,utensils,tool,pass through sieve,aerate dry ingredients,remove lumps,sift flour,,tool pass through sieve aerate dry ingredients remove lumps,3,sound,0.0,sift,26,-0.4665553,2.50167
scrape,cleaning,clean,remove by dragging tool,collect residue,clean surface,scrape pan bottom,,clean remove by dragging tool collect residue clean surface,3,sound,0.0,scrape,26,-0.57201886,2.8986723
smoke,flavoring,add flavor,cook using smoke,flavor with burning wood,preserve and flavor,smoke fish,,add flavor cook using smoke flavor with burning wood preserve and flavor,5,add water,0.5687180842966731,smoke,26,-2.8349915,1.1325094
marinade,flavoring,add flavor,seasoned soaking liquid,flavoring mixture,tenderizing liquid,prepare a marinade,,add flavor seasoned soaking liquid flavoring mixture tenderizing liquid,5,add water,0.5687180842966731,marinade,26,-2.8553772,1.0900637
dissolve,add water,mix in water,blend into liquid fully,disappear into liquid,combine completely,dissolve sugar in water,,mix in water blend into liquid fully disappear into liquid combine completely,5,water cooking,0.5454499149998363,dissolve,26,-1.1356616,1.3570572
toast,light cooking,brown with heat,brown with dry heat,heat until crisp,enhance flavor,toast bread,,brown with heat brown with dry heat heat until crisp enhance flavor,5,heat plus cool item,0.3873092001071206,toast,26,-2.1643462,1.0271736
squeeze,action,action,press to extract liquid,remove juice,apply pressure,squeeze lemon juice,,action press to extract liquid remove juice apply pressure,5,action,1.0,squeeze,26,-0.9584403,2.3512712
blitz,cutting,cut item heavily,process quickly in blender,puree rapidly,blend at high speed,blitz soup,,cut item heavily process quickly in blender puree rapidly blend at high speed,2,item,1.0,blitz,26,-1.363682,0.49297172
blot,reduce water,remove water,absorb excess liquid,remove moisture,dry surface,blot fried food,,remove water absorb excess liquid remove moisture dry surface,5,remove unwanted item,0.3586231983895778,blot,26,-0.7931392,2.420513
carve,cutting,cut item,cut cooked meat,slice neatly,prepare servings,carve roast,,cut item cut cooked meat slice neatly prepare servings,2,item,1.0,carve,26,-2.4213326,2.7660413
meld,flavoring,mix flavor,blend flavors together,combine smoothly,unite tastes,flavors meld in stew,,mix flavor blend flavors together combine smoothly unite tastes,4,sound,0.0,meld,26,-2.8676677,0.58122176
thicken,reduce water,reduce liquid,increase density,reduce liquid,add body to sauce,thicken gravy,,reduce liquid increase density reduce liquid add body to sauce,5,reduce water,0.4330430737670977,thicken,26,-0.8954419,1.120171
garnish,decoration,decorate,decorate dish,add finishing touch,improve appearance,garnish with herbs,,decorate decorate dish add finishing touch improve appearance,5,sound,0.0,garnish,26,-0.8516022,1.1525182
braise,light cooking,slow heat,cook slowly with liquid,moist-heat cooking method,low and slow cooking,braise beef,,slow heat cook slowly with liquid moist-heat cooking method low and slow cooking,5,heat plus cool item,0.3873092001071206,braise,26,-3.704002,2.511197
uncover,action,action,remove lid or cover,expose food during cooking,allow browning or evaporation,uncover pot to reduce sauce,,action remove lid or cover expose food during cooking allow browning or evaporation,5,action,1.0,uncover,26,-1.9625261,2.1622493
bake,more cooking,heating,cook with dry heat,use oven heat,even cooking method,bake bread,,heating cook with dry heat use oven heat even cooking method,5,sound,0.0,bake,26,-3.7069836,2.8627105
rinse,cleaning,clean,wash lightly with water,remove residue or starch,clean briefly,rinse rice,,clean wash lightly with water remove residue or starch clean briefly,3,sound,0.0,rinse,26,-0.5696298,3.03512
char,flavoring,add flavor,burn surface intentionally,blacken with high heat,add smoky flavor,char vegetables,,add flavor burn surface intentionally blacken with high heat add smoky flavor,5,add water,0.5687180842966731,char,26,-3.0059097,1.2598228
seal,action,action,close tightly,lock in moisture,prevent air entry,seal container,,action close tightly lock in moisture prevent air entry,5,action,1.0,seal,26,0.19570348,2.3458948
wipe,cleaning,clean,clean surface lightly,remove residue with cloth,dry or clean gently,wipe cutting board,,clean clean surface lightly remove residue with cloth dry or clean gently,3,sound,0.0,wipe,26,-0.70359963,3.185291
wash,cleaning,clean,clean with water,remove dirt or residue,prepare for use,wash vegetables,,clean clean with water remove dirt or residue prepare for use,3,sound,0.0,wash,26,-0.71210265,3.307288
poach,water cooking,cook in water,cook gently in liquid,low-temperature simmering,moist cooking method,poach eggs,,cook in water cook gently in liquid low-temperature simmering moist cooking method,5,water cooking,0.5454499149998363,poach,26,-3.5136917,2.203108
ladle,utensils,utensil,serve with deep spoon,pour using ladle,transfer liquid food,ladle soup into bowl,,utensil serve with deep spoon pour using ladle transfer liquid food,5,sound,0.0,ladle,26,-1.7488682,1.3565403
seasoning,flavoring,add flavor,flavoring ingredients,salt and spices mix,enhance taste,add seasoning to soup,,add flavor flavoring ingredients salt and spices mix enhance taste,5,add water,0.5687180842966731,seasoning,26,-3.107063,0.88597906
dress,flavoring,add flavor,add dressing or sauce,season and coat food,finish salad,dress the salad,,add flavor add dressing or sauce season and coat food finish salad,5,add water,0.5687180842966731,dress,26,-2.515134,1.1363751
burn,more cooking,high heat cooking,overheat food,blacken unintentionally,cause scorching,burn sugar quickly,,high heat cooking overheat food blacken unintentionally cause scorching,5,heat plus cool item,0.3087890209920528,burn,26,-2.758595,2.2620249
reduce,reduce water,remove water,simmer to thicken,evaporate excess liquid,concentrate flavor,reduce sauce,,remove water simmer to thicken evaporate excess liquid concentrate flavor,5,remove unwanted item,0.3586231983895778,reduce,26,-0.6980048,2.354027
dust,action,sprinkling item,lightly sprinkle powder,add fine coating,coat gently,dust cake with sugar,,sprinkling item lightly sprinkle powder add fine coating coat gently,5,item,1.0,dust,26,-0.4678509,0.67702025
reheat,light cooking,low heating,heat again,warm cooked food,restore serving temperature,reheat leftovers,,low heating heat again warm cooked food restore serving temperature,5,sound,0.0,reheat,26,-3.003151,2.8189032
dripping,liquid leftover,liquid leftover,liquid falling from food,fat released during cooking,juices from meat,collect pan drippings,,liquid leftover liquid falling from food fat released during cooking juices from meat,5,liquid leftover,1.0,dripping,26,-2.6969929,2.2091312
drizzle,action,?,pour lightly in thin stream,add small amount of liquid,decorate with sauce,drizzle olive oil,,? pour lightly in thin stream add small amount of liquid decorate with sauce,1,sound,0.0,drizzle,26,-0.5673942,1.5533296
fold,mixing,mixing,combine gently,turn mixture over softly,preserve air,fold egg whites into batter,,mixing combine gently turn mixture over softly preserve air,4,mixing,1.0,fold,26,-0.49046013,0.06266827
saute,more cooking,high heat cooking,cook quickly in small fat,high-heat frying,shallow pan cooking,saute onions,,high heat cooking cook quickly in small fat high-heat frying shallow pan cooking,5,heat plus cool item,0.3087890209920528,saute,26,-3.8504448,2.4503348
stirring,mixing,mixing,moving ingredients around,mixing continuously,prevent sticking,stirring sauce,,mixing moving ingredients around mixing continuously prevent sticking,4,mixing,1.0,stirring,26,-1.1034082,0.26375026
stuff,mixing,add mixing,fill with mixture,pack ingredients inside,insert filling,stuff peppers,,add mixing fill with mixture pack ingredients inside insert filling,4,mixing,0.746061359591966,stuff,26,0.10279387,1.5334603
clean,cleaning,clean,remove dirt,wash thoroughly,prepare hygienically,clean vegetables,,clean remove dirt wash thoroughly prepare hygienically,3,sound,0.0,clean,26,-0.7999484,3.4089038
mash,mixing,high mixing,crush until smooth,press into paste,break down texture,mash potatoes,,high mixing crush until smooth press into paste break down texture,4,mixing,1.0,mash,26,-1.8611689,0.98601633
splash,add water,add liquid,spray liquid lightly,scatter small drops,add water or sauce quickly,splash water on vegetables,,add liquid spray liquid lightly scatter small drops add water or sauce quickly,5,liquid leftover,0.4307387267923997,splash,26,-0.41769266,1.4970422
glaze,coating,coating,coat with glossy layer,apply sugar or sauce,add shiny finish,glaze donuts,,coating coat with glossy layer apply sugar or sauce add shiny finish,5,coating,1.0,glaze,26,-2.0412848,1.3599645
test,action,action,check doneness,examine readiness,verify cooking result,test cake with toothpick,,action check doneness examine readiness verify cooking result,5,action,1.0,test,26,1.571837,3.415994
lard,decoration,prepare,insert fat into meat,fill with fat,prepare pastry or meat,lard pork roast,,prepare insert fat into meat fill with fat prepare pastry or meat,4,sound,0.0,lard,26,-2.2911153,2.4373858
rub,action,action,rub spices or fat into food,massage seasoning in,apply friction,rub roast with herbs,,action rub spices or fat into food massage seasoning in apply friction,5,action,1.0,rub,26,-1.9881625,2.4433846
moist,add water,add water,containing enough water,not dry,retain juiciness,moist cake,,add water containing enough water not dry retain juiciness,5,add water,1.0,moist,26,-3.014978,1.3838894
scald,light cooking,low heating,heat liquid almost to boiling,hot but not boiling,prepare for pasteurization,scald milk,,low heating heat liquid almost to boiling hot but not boiling prepare for pasteurization,5,sound,0.0,scald,26,-3.071349,2.7935274
steam,water cooking,water cooking,cook with steam,use vapor to cook,moist-heat method,steam vegetables,,water cooking cook with steam use vapor to cook moist-heat method,5,water cooking,1.0000000000000002,steam,26,-3.4061863,2.6206095
pack,decoration,prepare,place tightly into container,fill storage,organize food,packed lunch box,,prepare place tightly into container fill storage organize food,5,sound,0.0,pack,26,0.37273455,2.2983606
foil,decoration,prepare,wrap in metal sheet,cover with aluminum,protect food during cooking,foil fish before baking,,prepare wrap in metal sheet cover with aluminum protect food during cooking,5,sound,0.0,foil,26,-2.5078144,2.407033
roast,more cooking,high heat cooking,cook with dry heat in oven,bake meat or vegetables,slow even cooking,roaѕt chicken,,high heat cooking cook with dry heat in oven bake meat or vegetables slow even cooking,5,heat plus cool item,0.3087890209920528,roast,26,-3.2132497,2.3817031
puree,mixing,mix high,blend into smooth paste,liquidize ingredients,mix thoroughly,puree carrots for soup,,mix high blend into smooth paste liquidize ingredients mix thoroughly,4,sound,0.0,puree,26,-1.2800922,0.20572041
serve,decoration,prepare,present food for eating,offer to diners,distribute dishes,serve salad,,prepare present food for eating offer to diners distribute dishes,5,sound,0.0,serve,26,0.5265331,3.2794013
check,action,prepare,inspect or test,verify cooking progress,ensure readiness,check cake for doneness,,prepare inspect or test verify cooking progress ensure readiness,5,sound,0.0,check,26,-0.42951152,3.1878161
wrap,action,action,cover with material,enclose food,seal ingredients,wrap sandwich in foil,,action cover with material enclose food seal ingredients,5,action,1.0,wrap,26,0.27785137,2.3696723
boil,water cooking,water cooking,cook in rapidly bubbling liquid,heat water until rolling boil,high-temperature cooking,boil pasta,,water cooking cook in rapidly bubbling liquid heat water until rolling boil high-temperature cooking,5,water cooking,1.0000000000000002,boil,26,-3.256479,2.5069478
fill,action,action,add content to container,stuff ingredient,complete portion,fill pastry with cream,,action add content to container stuff ingredient complete portion,5,action,1.0,fill,26,0.39194167,1.8221437
sprinkle,action,sprinkle item,scatter small amounts,lightly add topping,distribute evenly,sprinkle sugar on cake,,sprinkle item scatter small amounts lightly add topping distribute evenly,5,item,1.0,sprinkle,26,-0.07915845,0.7503824
cream,mixing,mixing,beat until smooth,combine fat and sugar,make light mixture,cream butter and sugar,,mixing beat until smooth combine fat and sugar make light mixture,4,mixing,1.0,cream,26,-1.1952518,0.14193156
dip,action,action,immerse briefly in liquid,soak partially,cover surface quickly,dip strawberries in chocolate,,action immerse briefly in liquid soak partially cover surface quickly,5,action,1.0,dip,26,-0.4059048,1.8065552
fry,more cooking,high heat cooking,cook in hot oil,cook in fat,high-heat method,fry eggs,,high heat cooking cook in hot oil cook in fat high-heat method,5,heat plus cool item,0.3087890209920528,fry,26,-3.9742515,2.6675742
season,flavoring,add flavor,add flavor,use spices or salt,enhance taste,season soup with pepper,,add flavor add flavor use spices or salt enhance taste,5,add water,0.5687180842966731,season,26,-3.0651014,0.7478209
zest,action,?,grate outer peel of citrus,extract aromatic layer,add flavor,zest lemon over cake,,? grate outer peel of citrus extract aromatic layer add flavor,5,sound,0.0,zest,26,-1.9740939,1.5589294
butter,coating,apply,apply butter,add fat,spread over surface,butter the pan,,apply apply butter add fat spread over surface,5,sound,0.0,butter,26,-1.3626493,1.6396896
wok,utensils,utensil,shallow pan for stir-frying,round-bottomed pan,high-heat cooking,use wok for stir-fry,,utensil shallow pan for stir-frying round-bottomed pan high-heat cooking,5,sound,0.0,wok,26,-3.8240793,2.220667
stew,light cooking,slow heat cooking,cook slowly in liquid,simmer until tender,moist-heat method,stew beef for 2 hours,,slow heat cooking cook slowly in liquid simmer until tender moist-heat method,5,heat plus cool item,0.3087890209920528,stew,26,-2.372059,1.4879433
blend,mixing,mix high,mix thoroughly,combine ingredients smoothly,puree together,blend fruits for smoothie,,mix high mix thoroughly combine ingredients smoothly puree together,4,sound,0.0,blend,26,-1.3463527,0.26753372
toss,action,action,mix lightly by lifting,combine ingredients gently,shake to mix,toss salad,,action mix lightly by lifting combine ingredients gently shake to mix,4,action,1.0,toss,26,-0.78874826,0.18829787
taste,action,action,sample for flavor,check seasoning,test doneness,taste soup before serving,,action sample for flavor check seasoning test doneness,5,action,1.0,taste,26,-2.7524865,1.5453677
cover,action,action,place lid on top,protect from heat or moisture,seal container,cover pot while simmering,,action place lid on top protect from heat or moisture seal container,5,action,1.0,cover,26,0.1865734,2.3030565
stir-fry,more cooking,high heat cooking,cook quickly in hot pan with oil,high-heat method,shake and move ingredients,stir-fry vegetables,,high heat cooking cook quickly in hot pan with oil high-heat method shake and move ingredients,5,heat plus cool item,0.3087890209920528,stir-fry,26,-3.8913677,2.7173753
pan-fry,more cooking,high heat cooking,cook in shallow oil,medium-heat cooking,brown surface,pan-fry chicken,,high heat cooking cook in shallow oil medium-heat cooking brown surface,5,heat plus cool item,0.3087890209920528,pan-fry,26,-3.9670923,2.4739811
dry,reduce water,remove liquid,eliminate moisture,remove water,make surface dry,dry washed lettuce,,remove liquid eliminate moisture remove water make surface dry,5,liquid leftover,0.408248290463863,dry,26,-0.6615032,2.54973
pour,action,action,transfer liquid,flow into container,add ingredient,pour batter into pan,,action transfer liquid flow into container add ingredient,5,action,1.0,pour,26,0.21763994,1.5854264
top,decoration,prepare,place on upper surface,add finishing layer,decorate,top cake with strawberries,,prepare place on upper surface add finishing layer decorate,5,sound,0.0,top,26,0.1497917,1.2992364
cook,action,action,prepare food with heat,apply heat to ingredients,transform raw to edible,cook pasta,,action prepare food with heat apply heat to ingredients transform raw to edible,5,action,1.0,cook,26,-2.8085759,2.9108498
stir,mixing,mixing,mix by rotating,move ingredients around,prevent sticking,stir soup,,mixing mix by rotating move ingredients around prevent sticking,4,mixing,1.0,stir,26,-1.1345484,0.2840624
take,action,action,remove or pick up,carry away,grab ingredient,take pan off heat,,action remove or pick up carry away grab ingredient,5,action,1.0,take,26,-0.2897387,3.1618745
mix,mixing,mixing,combine ingredients,blend thoroughly,stir together,mix flour and sugar,,mixing combine ingredients blend thoroughly stir together,4,mixing,1.0,mix,26,-1.233792,0.10582761
add,action,action,include ingredient,introduce into mixture,combine with others,add salt to taste,,action include ingredient introduce into mixture combine with others,4,action,1.0,add,26,-0.9857597,0.68846196
