Word,REMARK,Definition_Source_1,Definition_Source_2,Definition_Source_3,Food_Example,
tie,bind,Bind with string,Secure ingredients,Hold shape while cooking,Tie roast with twine,
slit,cut open,Make narrow cut,Cut slightly open,Create opening,Slit chili peppers,
distribute,spread parts,Spread evenly,Divide among parts,Arrange throughout dish,Distribute toppings evenly,
bubbling,bubble formation,Form bubbles,Boiling action,Release gas while cooking,Sauce bubbling gently,
blanch,heat plus cool item,Boil briefly then cool,Scald vegetables quickly,Prepare for freezing,Blanch spinach,
flavoring,flavour,Ingredient adding taste,Seasoning component,Enhance flavor,Add flavoring to soup,
pierce,small cut,Make small hole,Puncture surface,Allow heat or flavor in,Pierce potatoes before baking,
decorate,presentation,Add visual detail,Garnish food,Improve appearance,Decorate cake,
insert,small action,Put inside,Place within food,Add ingredient internally,Insert garlic into roast,
broil,high heat cooking,Cook with intense top heat,Use overhead heat,Brown food quickly,Broil fish fillets,
unmold,take out of mold,Remove from mold,Release shaped food,Turn out of container,Unmold pudding,
grate,shape change cheese,Shred into fine pieces,Rub against grater,Reduce to small bits,Grate cheese,
prick,small cut,Make small holes,Puncture lightly,Release steam or air,Prick pastry dough,
dressing,add flavor,Seasoned sauce for food,Mixture for salads,Flavoring liquid,Add dressing to salad,
shred,shape change item,Cut into thin strips,Tear finely,Reduce to strands,Shred chicken,
ice,add ice cool,Cool rapidly with ice,Add ice to chill,Lower temperature quickly,Ice vegetables after blanching,
flatten,shape change,Make level or thin,Press down evenly,Reduce thickness,Flatten dough,
sizzle,sound,Make hissing sound,Cook with hot fat,Quick high-heat sound,Steak sizzles in pan,
sear,brown coating heat,Brown surface quickly,Seal exterior with heat,Develop crust,Sear meat before roasting,
caramelized,brown coating sweet,Browned by sugar reaction,Golden and sweetened,Cooked until rich brown,Caramelized onions,
unroll,shape change,Open rolled food,Flatten from roll,Prepare sheet,Unroll pastry,
sweeten,add sugar,Add sugar,Increase sweetness,Improve taste,Sweeten sauce lightly,
flake,cut item,Break into layers,Separate gently,Form small pieces,Flake cooked fish,
tuck,small shape change,Push neatly into place,Secure edges,Hide excess,Tuck dough edges under,
stop,action,End a process,Prevent continuation,Cease cooking action,Stop cooking to avoid burning,
settle,action,Allow to rest,Let ingredients stabilize,Pause before next step,Let batter settle,
moisten,add water,Add slight liquid,Prevent dryness,Lightly wet,Moisten cake layers,
rotate,action,Turn around,Change position,Ensure even cooking,Rotate baking tray,
crumble,cut item,Break into small pieces,Reduce to crumbs,Create rough texture,Crumble cheese,
snap,cut item,Break cleanly,Crack sharply,Test crispness,Beans snap when fresh,
skim,remove water,Remove surface layer,Take off foam or fat,Clear liquid,Skim soup,
soak,add water,Submerge in liquid,Allow absorption,Hydrate ingredient,Soak beans overnight,
sieve,filtering particles,Strain dry or wet ingredients,Separate fine particles,Refine texture,Sieve flour,
stretch,shape change,Pull gently to enlarge,Extend dough,Increase surface area,Stretch pizza dough,
drip,remove liquid,Let liquid fall slowly,Allow excess liquid to drop,Drain lightly,Let oil drip off food,
sweat,cook slowly,Soften without browning,Release moisture gently,Cook slowly in fat,Sweat onions,
handle,action,Touch and move food,Manage ingredients carefully,Work with gently,Handle dough lightly,
submerge,add water,Put completely under liquid,Cover fully with liquid,Immerse ingredient,Submerge pasta in boiling water,
spray,add liquid,Apply as fine mist,Distribute liquid lightly,Coat evenly,Spray oil on pan,
flip,action,Turn over,Reverse sides,Change cooking surface,Flip pancake,
immerse,add water,Place fully in liquid,Submerge completely,Soak entirely,Immerse vegetables in ice bath,
powdered,shape change,Ground into fine dust,Very fine texture,Reduced to powder form,Powdered sugar,
sift,tool,Pass through sieve,Aerate dry ingredients,Remove lumps,Sift flour,
shake,action,Move back and forth,Agitate ingredients,Mix lightly,Shake dressing,
wilt,shape change,Soften leaves,Become limp from heat,Reduce firmness,Wilt spinach,
scrape,clean,Remove by dragging tool,Collect residue,Clean surface,Scrape pan bottom,
smoke,add flavor,Cook using smoke,Flavor with burning wood,Preserve and flavor,Smoke fish,
marinade,add flavor,Seasoned soaking liquid,Flavoring mixture,Tenderizing liquid,Prepare a marinade,
dissolve,mix in water,Blend into liquid fully,Disappear into liquid,Combine completely,Dissolve sugar in water,
toast,brown with heat,Brown with dry heat,Heat until crisp,Enhance flavor,Toast bread,
squeeze,action,Press to extract liquid,Remove juice,Apply pressure,Squeeze lemon juice,
grind,cut item,Crush into small particles,Powder by crushing,Reduce size,Grind spices,
blitz,cut item heavily,Process quickly in blender,Puree rapidly,Blend at high speed,Blitz soup,
bubble,form bubble,Form bubbles,Boil gently,Release gas,Mixture bubbles while heating,
slash,cut item,Make long cut,Score surface,Allow expansion,Slash bread dough,
blot,remove water,Absorb excess liquid,Remove moisture,Dry surface,Blot fried food,
style,decorate,Arrange attractively,Shape presentation,Decorate food,Style plated dessert,
trim,remove unwanted item,Remove excess parts,Cut unwanted edges,Neaten ingredient,Trim fat from meat,
twist,action,Turn or coil,Rotate ends,Shape ingredient,Twist breadsticks,
whip,shape change,Beat rapidly,Add air to mixture,Increase volume,Whip cream,
carve,cut item,Cut cooked meat,Slice neatly,Prepare servings,Carve roast,
divide,cut item,Separate into portions,Split evenly,Create equal parts,Divide dough,
meld,mix flavor,Blend flavors together,Combine smoothly,Unite tastes,Flavors meld in stew,
swirl,action,Move in circular motion,Mix gently,Create pattern,Swirl sauce on plate,
thicken,reduce liquid,Increase density,Reduce liquid,Add body to sauce,Thicken gravy,
garnish,decorate,Decorate dish,Add finishing touch,Improve appearance,Garnish with herbs,
,,,,,,
thaw,remove ice,Defrost frozen food,Return to room temperature,Remove ice safely,Thaw meat before cooking,
braise,slow heat,Cook slowly with liquid,Moist-heat cooking method,Low and slow cooking,Braise beef,
uncover,action,Remove lid or cover,Expose food during cooking,Allow browning or evaporation,Uncover pot to reduce sauce,
process,shape change,Prepare using machinery,Blend or grind ingredients,Transform using food processor,Process nuts into paste,
bake,heating,Cook with dry heat,Use oven heat,Even cooking method,Bake bread,
rinse,clean,Wash lightly with water,Remove residue or starch,Clean briefly,Rinse rice,
repeat,action,Do again,Perform step once more,Carry out same action,Repeat stirring process,
scatter,decoration,Spread loosely,Distribute lightly over surface,Arrange evenly,Scatter herbs on dish,
square,shape change,Shape into equal sides,Form even edges,Cut into squares,Square brownies,
char,add flavor,Burn surface intentionally,Blacken with high heat,Add smoky flavor,Char vegetables,
uncovered,action,Not covered during cooking,Exposed to air,Allow evaporation,Bake uncovered,
whirl,action,Spin rapidly,Mix in circular motion,Blend by spinning,Whirl sauce in blender,
seal,action,Close tightly,Lock in moisture,Prevent air entry,Seal container,
wipe,clean,Clean surface lightly,Remove residue with cloth,Dry or clean gently,Wipe cutting board,
assemble,action,Put components together,Combine prepared parts,Build final dish,Assemble sandwich,
wash,clean,Clean with water,Remove dirt or residue,Prepare for use,Wash vegetables,
strain,filter,Separate liquid from solids,Filter mixture,Remove particles,Strain broth,
pop,many meaning,Burst open suddenly,Expand and open with heat,Release steam,Pop popcorn,
strip,item separate,Remove outer layer,Pull off skin or leaves,Take away covering,Strip herbs from stems,
brush,action,Apply liquid lightly,Spread using brush,Coat surface,Brush oil on bread,
smear,action,Spread thickly,Coat unevenly,Apply with hand or tool,Smear butter on toast,
poach,cook in water,Cook gently in liquid,Low-temperature simmering,Moist cooking method,Poach eggs,
ladle,utensil,Serve with deep spoon,Pour using ladle,Transfer liquid food,Ladle soup into bowl,
seasoning,add flavor,Flavoring ingredients,Salt and spices mix,Enhance taste,Add seasoning to soup,
poke,cut item small,Make small hole,Prod lightly,Puncture surface,Poke holes in potatoes,
dress,add flavor,Add dressing or sauce,Season and coat food,Finish salad,Dress the salad,
burn,high heat cooking,Overheat food,Blacken unintentionally,Cause scorching,Burn sugar quickly,
reduce,remove water,Simmer to thicken,Evaporate excess liquid,Concentrate flavor,Reduce sauce,
dust,sprinkling item,Lightly sprinkle powder,Add fine coating,Coat gently,Dust cake with sugar,
stack,shape change,Place items on top of each other,Arrange in layers,Pile neatly,Stack pancakes,
reheat,low heating,Heat again,Warm cooked food,Restore serving temperature,Reheat leftovers,
dripping,liquid leftover,Liquid falling from food,Fat released during cooking,Juices from meat,Collect pan drippings,
transfer,action,Move from one place to another,Shift food to new container,Relocate ingredients,Transfer sauce to bowl,
soften,shape change,Make less firm,Reduce hardness,Loosen texture,Soften butter,
drizzle,?,Pour lightly in thin stream,Add small amount of liquid,Decorate with sauce,Drizzle olive oil,
arrange,action,Place neatly,Organize food visually,Prepare presentation,Arrange vegetables on plate,
measure,unit,Determine exact amount,Use measuring tools,Portion ingredients accurately,Measure flour,
fold,mixing ,Combine gently,Turn mixture over softly,Preserve air,Fold egg whites into batter,
beat,shape change,Mix vigorously,Stir rapidly,Incorporate air,Beat eggs,
simmer,low heating,Cook just below boiling,Heat gently,Maintain slow bubbles,Simmer soup,
saute,high heat cooking,Cook quickly in small fat,High-heat frying,Shallow pan cooking,Saute onions,
mould,shape change,Shape food,Form using mold,Create set shape,Mould butter,
shape,shape change,Form into desired form,Give structure,Create outline,Shape dough,
stirring,mixing ,Moving ingredients around,Mixing continuously,Prevent sticking,Stirring sauce,
raise,action,Increase height or level,Cause dough to grow,Elevate mixture,Yeast raises dough,
tear,cut item,Pull apart roughly,Divide by hand,Separate unevenly,Tear lettuce,
pick,action,Choose or remove carefully,Select small items,Pluck gently,Pick herbs,
stand,action,Allow to rest,Let sit without movement,Pause process,Let dough stand,
scoop,unit,Lift with spoon,Remove portion,Serve rounded amount,Scoop ice cream,
stuff,add mixing,Fill with mixture,Pack ingredients inside,Insert filling,Stuff peppers,
smash,shape change,Crush forcefully,Flatten completely,Break into pieces,Smash garlic,
sort,prepare,Arrange by type,Separate items,Organize ingredients,Sort beans,
clean,clean,Remove dirt,Wash thoroughly,Prepare hygienically,Clean vegetables,
prepare,prepare,Make ready for cooking,Complete initial steps,Organize ingredients,Prepare ingredients,
squash,shape change,Press flat,Crush gently,Reduce thickness,Squash tomatoes,
mash,high mixing,Crush until smooth,Press into paste,Break down texture,Mash potatoes,
dash,unit,Add small amount,Quick light addition,Minimal quantity,Dash of salt,
crush,shape change,Press or grind forcefully,Break into smaller pieces,Reduce texture,Crush garlic,
drain,remove liquid,Remove liquid from solid,Let liquid run off,Separate food from water,Drain pasta,
splash,add liquid,Spray liquid lightly,Scatter small drops,Add water or sauce quickly,Splash water on vegetables,
glaze,coating ,Coat with glossy layer,Apply sugar or sauce,Add shiny finish,Glaze donuts,
break,cut item small,Separate into pieces,Divide food forcefully,Split ingredient,Break chocolate into chunks,
chill,cool item,Cool in refrigerator,Lower temperature,Prepare for serving,Chill dough before baking,
drop,action,Let fall in small portions,Release ingredient gently,Place in batter,Drop cookie dough onto tray,
test,action,Check doneness,Examine readiness,Verify cooking result,Test cake with toothpick,
dice,cut item high,Cut into small cubes,Chop evenly into pieces,Uniform cutting,Dice vegetables,
lard,prepare,Insert fat into meat,Fill with fat,Prepare pastry or meat,Lard pork roast,
unwrap,action,Remove covering,Take off packaging,Expose food,Unwrap chocolate,
slather,coating ,Spread thickly,Coat generously,Apply in large amount,Slather butter on bread,
rub,action,Rub spices or fat into food,Massage seasoning in,Apply friction,Rub roast with herbs,
moist,add water,Containing enough water,Not dry,Retain juiciness,Moist cake,
scald,low heating,Heat liquid almost to boiling,Hot but not boiling,Prepare for pasteurization,Scald milk,
pat,action,Press lightly,Flatten with hand,Shape gently,Pat dough,
steam,water cooking,Cook with steam,Use vapor to cook,Moist-heat method,Steam vegetables,
split,cut item,Divide lengthwise,Separate in half,Cut into sections,Split buns,
pack,prepare,Place tightly into container,Fill storage,Organize food,Packed lunch box,
mound,shape change,Shape into small heap,Pile food loosely,Form round pile,Mound rice on plate,
replace,action,Put back in place,Swap items,Substitute ingredient,Replace lid on pot,
foil,prepare,Wrap in metal sheet,Cover with aluminum,Protect food during cooking,Foil fish before baking,
roast,high heat cooking,Cook with dry heat in oven,Bake meat or vegetables,Slow even cooking,Roaѕt chicken,
unfold,shape change,Open folded item,Spread out flat,Expose layers,Unfold puff pastry,
yield,output,Produce amount,Provide output,Result in quantity,Dough yields 12 rolls,
smooth,shape change,Even surface,No lumps,Polish texture,Smooth frosting,
press,action,Apply firm force,Flatten with hand or tool,Compact ingredients,Press dough into pan,
puree,mix high,Blend into smooth paste,Liquidize ingredients,Mix thoroughly,Puree carrots for soup,
roll,shape change,Flatten or shape by rolling,Form cylinder,Shape dough,Roll out pastry,
sprout,?,Begin growth,Produce shoots,Vegetable germination,Bean sprouts,
serve,prepare,Present food for eating,Offer to diners,Distribute dishes,Serve salad,
skin,shape change,Remove outer layer,Peel off covering,Prepare surface,Skin tomatoes,
whisk,shape change,Beat rapidly,Incorporate air,Mix quickly,Whisk eggs,
melt,shape change,Change solid to liquid,Heat until liquid,Softening with heat,Melt butter,
hold,action,Keep at certain temperature,Maintain position or state,Preserve food,Hold soup warm,
check,prepare,Inspect or test,Verify cooking progress,Ensure readiness,Check cake for doneness,
wrap,action,Cover with material,Enclose food,Seal ingredients,Wrap sandwich in foil,
boil,water cooking,Cook in rapidly bubbling liquid,Heat water until rolling boil,High-temperature cooking,Boil pasta,
reserve,action,Set aside for later,Keep portion,Save ingredient,Reserve some sauce,
pull,shape change,Stretch or draw apart,Remove with force,Extract ingredient,Pull dough for bread,
fill,action,Add content to container,Stuff ingredient,Complete portion,Fill pastry with cream,
start,action,Begin cooking,Initiate process,Turn on appliance,Start oven preheating,
sprinkle,sprinkle item,Scatter small amounts,Lightly add topping,Distribute evenly,Sprinkle sugar on cake,
spread,coating ,Apply evenly,Distribute across surface,Coat,Spread butter on toast,
move,action,Change position,Shift ingredient,Transfer to new location,Move bowl aside,
minced,cut item,Cut into very small pieces,Finely chopped,Reduce size of ingredient,Minced garlic,
cream,mixing ,Beat until smooth,Combine fat and sugar,Make light mixture,Cream butter and sugar,
combine,mixing ,Mix together,Bring ingredients into one,Blend thoroughly,Combine flour and eggs,
dump,action,Pour all at once,Add quickly,Transfer bulk ingredient,Dump vegetables into pot,
peel,shape change,Remove skin or outer layer,Skin fruit or vegetable,Strip off covering,Peel apples,
coat,coating ,Cover with layer,Apply outer layer,Encase ingredient,Coat chicken with breadcrumbs,
dip,action,Immerse briefly in liquid,Soak partially,Cover surface quickly,Dip strawberries in chocolate,
throw,action,Add quickly,Mix roughly,Put in container,Throw vegetables into pan,
fry,high heat cooking,Cook in hot oil,Cook in fat,High-heat method,Fry eggs,
season,add flavor,Add flavor,Use spices or salt,Enhance taste,Season soup with pepper,
zest,?,Grate outer peel of citrus,Extract aromatic layer,Add flavor,Zest lemon over cake,
mince,cut item,Cut into very small pieces,Chop finely,Reduce to tiny bits,Mince onions,
push,action,Move by applying pressure,Press forward,Shift ingredient,Push dough into pan,
chop,cut item,Cut into pieces,Divide roughly,Cut ingredients,Chop onions,
separate,cut item,Divide into parts,Remove layers,Split ingredient,Separate egg yolk from white,
butter,apply,Apply butter,Add fat,Spread over surface,Butter the pan,
slice,cut item,Cut into flat pieces,Divide food,Make thin portions,Slice bread,
wet,add water,Moisten with liquid,Add water or other liquid,Prevent dryness,Wet hands when shaping dough,
sit,action,Rest without disturbance,Allow to stand,Pause process,Let dough sit for 10 minutes,
save,action,Keep for later,Reserve portion,Store ingredient,Save leftover sauce,
wait,action,Pause before next step,Allow time to pass,Delay action,Wait for dough to rise,
wok,utensil,Shallow pan for stir-frying,Round-bottomed pan,High-heat cooking,Use wok for stir-fry,
open,action,Uncover or unfold,Remove lid,Expose ingredients,Open jar of sauce,
stew,slow heat cooking,Cook slowly in liquid,Simmer until tender,Moist-heat method,Stew beef for 2 hours,
blend,mix high,Mix thoroughly,Combine ingredients smoothly,Puree together,Blend fruits for smoothie,
touch,action,Handle lightly,Test by hand,Feel texture,Touch dough gently,
cool,cool item,Lower temperature,Allow to reach room temp,Chill slightly,Cool cake on rack,
toss,action,Mix lightly by lifting,Combine ingredients gently,Shake to mix,Toss salad,
cut,cut item,Divide with knife,Slice or chop,Shape ingredients,Cut vegetables,
taste,action,Sample for flavor,Check seasoning,Test doneness,Taste soup before serving,
rest,action,Let food stand,Allow to settle,Pause cooking,Rest meat after roasting,
pre-heat,low heating,Heat oven beforehand,Warm appliance before use,Prepare correct temperature,Pre-heat oven to 180°C,
cover,action,Place lid on top,Protect from heat or moisture,Seal container,Cover pot while simmering,
stir-fry,high heat cooking,Cook quickly in hot pan with oil,High-heat method,Shake and move ingredients,Stir-fry vegetables,
pan-fry,high heat cooking,Cook in shallow oil,Medium-heat cooking,Brown surface,Pan-fry chicken,
turn,action,Flip or rotate,Change side or orientation,Move position,Turn steak in pan,
remove,action,Take away,Extract ingredient,Discard,Remove skin from fish,
dry,remove liquid,Eliminate moisture,Remove water,Make surface dry,Dry washed lettuce,
warm,low heating,Increase temperature slightly,Heat gently,Keep at serving temp,Warm soup,
pour,action,Transfer liquid,Flow into container,Add ingredient,Pour batter into pan,
note,action,Observe or record,Pay attention,Mark details,Note oven temperature,
top,prepare,Place on upper surface,Add finishing layer,Decorate,Top cake with strawberries,
heat,low heating,Increase temperature,Cook using warmth,Apply energy,Heat oil before sautéing,
cook,action,Prepare food with heat,Apply heat to ingredients,Transform raw to edible,Cook pasta,
place,action,Put in position,Set ingredient down,Arrange on surface,Place dough on tray,
stir,mixing ,Mix by rotating,Move ingredients around,Prevent sticking,Stir soup,
take,action,Remove or pick up,Carry away,Grab ingredient,Take pan off heat,
put,action,Place somewhere,Set ingredient down,Add to dish,Put vegetables in pot,
mix,mixing ,Combine ingredients,Blend thoroughly,Stir together,Mix flour and sugar,
set,action,Allow to firm,Let rest until stable,Fix shape,Set jelly in fridge,
add,action,Include ingredient,Introduce into mixture,Combine with others,Add salt to taste,
